Indicators,Year,Age_Group,Gender,Value
"Survival to age 65, male (% of cohort)",2005,Total,Male,69.929219
Age dependency ratio (% of working-age population),2006,Total,Total,48.10686183
"Age dependency ratio, old (% of working-age population)",2006,Total,Total,9.976387941
"Age dependency ratio, young (% of working-age population)",2006,Total,Total,38.13047389
"Birth rate, crude (per 1,000 people)",2006,Total,Total,18.852
Current health expenditure (% of GDP),2006,Total,Total,3.85019565
"Death rate, crude (per 1,000 people)",2006,Total,Total,6.632
"Fertility rate, total (births per woman)",2006,Total,Total,2.292
"Hospital beds (per 1,000 people)",2006,Total,Total,3.37
"Incidence of HIV, all (per 1,000 uninfected population)",2006,Total,Total,0.1
"Incidence of malaria (per 1,000 population at risk)",2006,Total,Total,0.13
"Incidence of tuberculosis (per 100,000 people)",2006,Total,Total,66
"Life expectancy at birth, female (years)",2006,Total,Female,77.173
"Life expectancy at birth, male (years)",2006,Total,Male,68.823
"Life expectancy at birth, total (years)",2006,Total,Total,72.825
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",2006,Reproductive Age,Total,32
"Mortality rate, adult, female (per 1,000 female adults)",2006,Adult,Female,83.41
"Mortality rate, adult, male (per 1,000 male adults)",2006,Adult,Male,217.215
"Mortality rate, infant (per 1,000 live births)",2006,0-1,Total,10.7
"Mortality rate, infant, female (per 1,000 live births)",2006,0-1,Female,9.6
"Mortality rate, infant, male (per 1,000 live births)",2006,0-1,Male,11.7
Number of maternal deaths,2006,Reproductive Age,Total,120
"Nurses and midwives (per 1,000 people)",2006,Total,Total,1.657
"Physicians (per 1,000 people)",2006,Total,Total,0.517
Population ages 0-14 (% of total population),2006,Total,Total,25.74524709
Population ages 15-64 (% of total population),2006,Total,Total,67.51881632
Population ages 65 and above (% of total population),2006,Total,Total,6.735936592
"Population, female",2006,Total,Female,10344264
"Population, female (% of total population)",2006,Total,Female,50.82574246
"Population, male",2006,Total,Male,10008147
"Population, male (% of total population)",2006,Total,Male,49.17425754
"Population, total",2006,Total,Total,19293054
"Prevalence of HIV, female (% ages 15-24)",2006,15-24,Female,0.1
"Prevalence of HIV, male (% ages 15-24)",2006,15-24,Male,0.1
Sex ratio at birth (male births per female births),2006,Total,Female,1.047
"Suicide mortality rate (per 100,000 population)",2006,Total,Total,24.14
"Suicide mortality rate, female (per 100,000 female population)",2006,Total,Female,9.01
"Suicide mortality rate, male (per 100,000 male population)",2006,Total,Male,39.78
"Survival to age 65, female (% of cohort)",2006,Total,Female,86.068395
"Survival to age 65, male (% of cohort)",2006,Total,Male,68.686679
Age dependency ratio (% of working-age population),2007,Total,Total,48.22794495
"Age dependency ratio, old (% of working-age population)",2007,Total,Total,10.18483009
"Age dependency ratio, young (% of working-age population)",2007,Total,Total,38.04311487
"Birth rate, crude (per 1,000 people)",2007,Total,Total,18.81
Current health expenditure (% of GDP),2007,Total,Total,3.82258177
"Death rate, crude (per 1,000 people)",2007,Total,Total,6.694
"Fertility rate, total (births per woman)",2007,Total,Total,2.295
"Hospital beds (per 1,000 people)",2007,Total,Total,3.42
"Incidence of HIV, all (per 1,000 uninfected population)",2007,Total,Total,0.1
"Incidence of malaria (per 1,000 population at risk)",2007,Total,Total,0.04
"Incidence of tuberculosis (per 100,000 people)",2007,Total,Total,66
"Life expectancy at birth, female (years)",2007,Total,Female,77.34
"Life expectancy at birth, male (years)",2007,Total,Male,68.954
"Life expectancy at birth, total (years)",2007,Total,Total,72.983
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",2007,Reproductive Age,Total,31
"Mortality rate, adult, female (per 1,000 female adults)",2007,Adult,Female,82.031
"Mortality rate, adult, male (per 1,000 male adults)",2007,Adult,Male,216.034
"Mortality rate, infant (per 1,000 live births)",2007,0-1,Total,10.2
"Mortality rate, infant, female (per 1,000 live births)",2007,0-1,Female,9.1
